	shannon	chao1	PD_whole_tree
HAandNandS.SSJ.185	0.042813327744	5.0	0.59621
HAandNnoS.SSJ.178	0.0155699095977	3.0	0.52408
HAandNandS.SSJ.187	-0.0	1.0	0.49443
HAandNnoS.SSJ.179	-0.0	1.0	0.49443
HI.SSJ.25	-0.0	1.0	0.49443
HI.SSJ.23	-0.0	1.0	0.49443
HI.SSJ.22	0.162326180175	2.0	0.5239
HI.SSJ.24	-0.0	1.0	0.49443
HAandNandS.SSJ.189	-0.0	1.0	0.49443
HAandNandS.SSJ.188	0.0332241384298	5.5	0.66284
HSnoNnoS.SSJ.158	0.0722525226906	3.0	0.52428
HAandNnoS.SSJ.172	0.0369114941175	16.0	0.61562
HAnoNandS.SSJ.161	-0.0	1.0	0.49443
HSnoNnoS.SSJ.159	0.18453494732	7.0	0.61341
HSnoNnoS.SSJ.157	0.218057424186	31.0	0.72186
HAnoNandS.SSJ.162	-0.0	1.0	0.49443
HAnoNandS.SSJ.164	-0.0	1.0	0.49443
HSnoNnoS.SSJ.153	0.138791857017	37.5	0.78797
HSnoNnoS.SSJ.151	0.391243563629	2.0	0.50552
HAnoNandS.SSJ.163	nan	0.0	0.0
HI.SSJ.28	0.214036087166	3.0	0.53182
HAnoNandS.SSJ.165	-0.0	1.0	0.49443
HSnoNnoS.SSJ.152	0.121689764625	18.25	0.813
HAandNnoS.SSJ.176	0.0133287551192	4.5	0.55213
HI.SSJ.30	-0.0	1.0	0.49443
HI.SSJ.26	0.0915816208784	8.0	0.60188
HSnoNnoS.SSJ.156	0.184255395525	14.0	0.65666
HAandNandS.SSJ.182	0.0293389758337	2.0	0.50552
HAandNnoS.SSJ.180	0.090999621249	8.0	0.59281
HI.SSJ.27	0.0844314759429	5.0	0.59886
HSnoNnoS.SSJ.155	0.165092721259	58.0	0.78646
HI.SSJ.29	-0.0	1.0	0.49443
HSnoNandS.SSJ.167	-0.0	1.0	0.49443
HI.SSJ.21	-0.0	1.0	0.49443
