	HAandNandS.SSJ.185	HAandNnoS.SSJ.178	HAandNandS.SSJ.187	HAandNnoS.SSJ.179	HI.SSJ.25	HI.SSJ.23	HI.SSJ.22	HI.SSJ.24	HAandNandS.SSJ.189	HAandNandS.SSJ.188	HSnoNnoS.SSJ.158	HAandNnoS.SSJ.172	HAnoNandS.SSJ.161	HSnoNnoS.SSJ.159	HSnoNnoS.SSJ.157	HAnoNandS.SSJ.162	HAnoNandS.SSJ.164	HSnoNnoS.SSJ.153	HSnoNnoS.SSJ.151	HAnoNandS.SSJ.163	HI.SSJ.28	HAnoNandS.SSJ.165	HSnoNnoS.SSJ.152	HAandNnoS.SSJ.176	HI.SSJ.30	HI.SSJ.26	HSnoNnoS.SSJ.156	HAandNandS.SSJ.182	HAandNnoS.SSJ.180	HI.SSJ.27	HSnoNnoS.SSJ.155	HI.SSJ.29	HSnoNandS.SSJ.167	HI.SSJ.21
HAandNandS.SSJ.185	0.0	0.177708736601	0.170711661998	0.170711661998	0.170711661998	0.170711661998	0.209771768316	0.170711661998	0.170711661998	0.261604948499	0.177976161439	0.253092114747	0.170711661998	0.207518930694	0.17406422298	0.170711661998	0.170711661998	0.284379221874	0.152110833431	1.0	0.187932723972	0.170711661998	0.297376973915	0.128367696194	0.170711661998	0.270081002642	0.218862398885	0.152110833431	0.0427009942714	0.190055733931	0.289600316679	0.170711661998	0.170711661998	0.170711661998
HAandNnoS.SSJ.178	0.177708736601	0.0	0.0565753320104	0.0565753320104	0.0565753320104	0.0565753320104	0.106801553609	0.0565753320104	0.0565753320104	0.258115644262	0.0687495394591	0.202876155035	0.0565753320104	0.200088611801	0.317252370276	0.0565753320104	0.0565753320104	0.373216123393	0.0354144405434	1.0	0.0815073222137	0.0565753320104	0.392082351243	0.114195097163	0.0565753320104	0.185223389852	0.251325493913	0.0354144405434	0.173135744312	0.181238055133	0.3720404462	0.0565753320104	0.0565753320104	0.0565753320104
HAandNandS.SSJ.187	0.170711661998	0.0565753320104	0.0	0.0	0.0	0.0	0.0562511929758	0.0	0.0	0.254073381208	0.056935225452	0.196858451642	0.0	0.193964884824	0.315061092179	0.0	0.0	0.37252687285	0.021937806615	1.0	0.0703057425445	0.0	0.39184501845	0.10450437397	0.0	0.178523958264	0.247053269576	0.021937806615	0.165955365125	0.174381324517	0.371322126999	0.0	0.0	0.0
HAandNnoS.SSJ.179	0.170711661998	0.0565753320104	0.0	0.0	0.0	0.0	0.0562511929758	0.0	0.0	0.254073381208	0.056935225452	0.196858451642	0.0	0.193964884824	0.315061092179	0.0	0.0	0.37252687285	0.021937806615	1.0	0.0703057425445	0.0	0.39184501845	0.10450437397	0.0	0.178523958264	0.247053269576	0.021937806615	0.165955365125	0.174381324517	0.371322126999	0.0	0.0	0.0
HI.SSJ.25	0.170711661998	0.0565753320104	0.0	0.0	0.0	0.0	0.0562511929758	0.0	0.0	0.254073381208	0.056935225452	0.196858451642	0.0	0.193964884824	0.315061092179	0.0	0.0	0.37252687285	0.021937806615	1.0	0.0703057425445	0.0	0.39184501845	0.10450437397	0.0	0.178523958264	0.247053269576	0.021937806615	0.165955365125	0.174381324517	0.371322126999	0.0	0.0	0.0
HI.SSJ.23	0.170711661998	0.0565753320104	0.0	0.0	0.0	0.0	0.0562511929758	0.0	0.0	0.254073381208	0.056935225452	0.196858451642	0.0	0.193964884824	0.315061092179	0.0	0.0	0.37252687285	0.021937806615	1.0	0.0703057425445	0.0	0.39184501845	0.10450437397	0.0	0.178523958264	0.247053269576	0.021937806615	0.165955365125	0.174381324517	0.371322126999	0.0	0.0	0.0
HI.SSJ.22	0.209771768316	0.106801553609	0.0562511929758	0.0562511929758	0.0562511929758	0.0562511929758	0.0	0.0562511929758	0.0562511929758	0.219337994778	0.107124153499	0.159808797881	0.0562511929758	0.145921977144	0.282847218393	0.0562511929758	0.0562511929758	0.335126971839	0.0758145012056	1.0	0.119118459263	0.0562511929758	0.362886042468	0.149879642366	0.0562511929758	0.140743187448	0.231609221229	0.0758145012056	0.205454136402	0.158775972056	0.341484406642	0.0562511929758	0.0562511929758	0.0562511929758
HI.SSJ.24	0.170711661998	0.0565753320104	0.0	0.0	0.0	0.0	0.0562511929758	0.0	0.0	0.254073381208	0.056935225452	0.196858451642	0.0	0.193964884824	0.315061092179	0.0	0.0	0.37252687285	0.021937806615	1.0	0.0703057425445	0.0	0.39184501845	0.10450437397	0.0	0.178523958264	0.247053269576	0.021937806615	0.165955365125	0.174381324517	0.371322126999	0.0	0.0	0.0
HAandNandS.SSJ.189	0.170711661998	0.0565753320104	0.0	0.0	0.0	0.0	0.0562511929758	0.0	0.0	0.254073381208	0.056935225452	0.196858451642	0.0	0.193964884824	0.315061092179	0.0	0.0	0.37252687285	0.021937806615	1.0	0.0703057425445	0.0	0.39184501845	0.10450437397	0.0	0.178523958264	0.247053269576	0.021937806615	0.165955365125	0.174381324517	0.371322126999	0.0	0.0	0.0
HAandNandS.SSJ.188	0.261604948499	0.258115644262	0.254073381208	0.254073381208	0.254073381208	0.254073381208	0.219337994778	0.254073381208	0.254073381208	0.0	0.258333333333	0.280414811627	0.254073381208	0.207488869226	0.312247086929	0.254073381208	0.254073381208	0.363532795669	0.237342345061	1.0	0.266448036683	0.254073381208	0.381008797911	0.213752242054	0.254073381208	0.266865827087	0.277797355678	0.237342345061	0.258122242877	0.218868670328	0.402041963902	0.254073381208	0.254073381208	0.254073381208
