	HAandNandS.SSJ.185	HAandNnoS.SSJ.178	HAandNandS.SSJ.187	HAandNnoS.SSJ.179	HI.SSJ.25	HI.SSJ.23	HI.SSJ.22	HI.SSJ.24	HAandNandS.SSJ.189	HAandNandS.SSJ.188	HSnoNnoS.SSJ.158	HAandNnoS.SSJ.172	HAnoNandS.SSJ.161	HSnoNnoS.SSJ.159	HSnoNnoS.SSJ.157	HAnoNandS.SSJ.162	HAnoNandS.SSJ.164	HSnoNnoS.SSJ.153	HSnoNnoS.SSJ.151	HAnoNandS.SSJ.163	HI.SSJ.28	HAnoNandS.SSJ.165	HSnoNnoS.SSJ.152	HAandNnoS.SSJ.176	HI.SSJ.30	HI.SSJ.26	HSnoNnoS.SSJ.156	HAandNandS.SSJ.182	HAandNnoS.SSJ.180	HI.SSJ.27	HSnoNnoS.SSJ.155	HI.SSJ.29	HSnoNandS.SSJ.167	HI.SSJ.21
HAandNandS.SSJ.185	0.0	0.000287449561912	0.000373136094675	0.000373136094675	0.000373136094675	0.000373136094675	0.002450848408	0.000373136094675	0.000373136094675	0.000196827642743	0.000377558455067	0.000230465466418	0.000373136094675	0.00165416267857	0.00195408048739	0.000373136094675	0.000373136094675	0.000801727031268	0.00641481656805	1.0	0.0024547953181	0.000373136094675	0.000710269362226	0.000277672123705	0.000373136094675	0.000652819138617	0.00158577393526	0.000134604168507	0.000461740003586	0.00046090756107	0.00114455866062	0.000373136094675	0.000373136094675	0.000373136094675
HAandNnoS.SSJ.178	0.000287449561912	0.0	9.79091208429e-05	9.79091208429e-05	9.79091208429e-05	9.79091208429e-05	0.00260860419901	9.79091208429e-05	9.79091208429e-05	0.000241467112314	0.000546286123487	0.000223409604725	9.79091208429e-05	0.00189658857184	0.0022415300493	9.79091208429e-05	9.79091208429e-05	0.00107090618821	0.00658354423647	1.0	0.00263657624096	9.79091208429e-05	0.000978339797462	3.96551090209e-05	9.79091208429e-05	0.000833633139369	0.00183850678119	0.000173119437387	0.000731828618753	0.000703333454343	0.00138038599336	9.79091208429e-05	9.79091208429e-05	9.79091208429e-05
HAandNandS.SSJ.187	0.000373136094675	9.79091208429e-05	0.0	0.0	0.0	0.0	0.00267238095238	0.0	0.0	0.000327153645077	0.00063197265625	0.000300694275274	0.0	0.0019822751046	0.00232721658206	0.0	0.0	0.00115659272097	0.00666923076923	1.0	0.00272226277372	0.0	0.00106402633022	0.0001044530845	0.0	0.000919319672131	0.00192419331395	0.000258805970149	0.000817515151515	0.000789019987105	0.00146607252612	0.0	0.0	0.0
HAandNnoS.SSJ.179	0.000373136094675	9.79091208429e-05	0.0	0.0	0.0	0.0	0.00267238095238	0.0	0.0	0.000327153645077	0.00063197265625	0.000300694275274	0.0	0.0019822751046	0.00232721658206	0.0	0.0	0.00115659272097	0.00666923076923	1.0	0.00272226277372	0.0	0.00106402633022	0.0001044530845	0.0	0.000919319672131	0.00192419331395	0.000258805970149	0.000817515151515	0.000789019987105	0.00146607252612	0.0	0.0	0.0
HI.SSJ.25	0.000373136094675	9.79091208429e-05	0.0	0.0	0.0	0.0	0.00267238095238	0.0	0.0	0.000327153645077	0.00063197265625	0.000300694275274	0.0	0.0019822751046	0.00232721658206	0.0	0.0	0.00115659272097	0.00666923076923	1.0	0.00272226277372	0.0	0.00106402633022	0.0001044530845	0.0	0.000919319672131	0.00192419331395	0.000258805970149	0.000817515151515	0.000789019987105	0.00146607252612	0.0	0.0	0.0
HI.SSJ.23	0.000373136094675	9.79091208429e-05	0.0	0.0	0.0	0.0	0.00267238095238	0.0	0.0	0.000327153645077	0.00063197265625	0.000300694275274	0.0	0.0019822751046	0.00232721658206	0.0	0.0	0.00115659272097	0.00666923076923	1.0	0.00272226277372	0.0	0.00106402633022	0.0001044530845	0.0	0.000919319672131	0.00192419331395	0.000258805970149	0.000817515151515	0.000789019987105	0.00146607252612	0.0	0.0	0.0
HI.SSJ.22	0.002450848408	0.00260860419901	0.00267238095238	0.00267238095238	0.00267238095238	0.00267238095238	0.0	0.00267238095238	0.00267238095238	0.00251566587832	0.00224365048363	0.00248781335189	0.00267238095238	0.00129845312811	0.00130041696882	0.00267238095238	0.00267238095238	0.00192937575307	0.00574113553114	1.0	0.00168964198818	0.00267238095238	0.00203725752945	0.0026162119529	0.00267238095238	0.00207545472287	0.0014214289175	0.00247978393746	0.0022201991342	0.00224026618771	0.00175219656394	0.00267238095238	0.00267238095238	0.00267238095238
HI.SSJ.24	0.000373136094675	9.79091208429e-05	0.0	0.0	0.0	0.0	0.00267238095238	0.0	0.0	0.000327153645077	0.00063197265625	0.000300694275274	0.0	0.0019822751046	0.00232721658206	0.0	0.0	0.00115659272097	0.00666923076923	1.0	0.00272226277372	0.0	0.00106402633022	0.0001044530845	0.0	0.000919319672131	0.00192419331395	0.000258805970149	0.000817515151515	0.000789019987105	0.00146607252612	0.0	0.0	0.0
HAandNandS.SSJ.189	0.000373136094675	9.79091208429e-05	0.0	0.0	0.0	0.0	0.00267238095238	0.0	0.0	0.000327153645077	0.00063197265625	0.000300694275274	0.0	0.0019822751046	0.00232721658206	0.0	0.0	0.00115659272097	0.00666923076923	1.0	0.00272226277372	0.0	0.00106402633022	0.0001044530845	0.0	0.000919319672131	0.00192419331395	0.000258805970149	0.000817515151515	0.000789019987105	0.00146607252612	0.0	0.0	0.0
HAandNandS.SSJ.188	0.000196827642743	0.000241467112314	0.000327153645077	0.000327153645077	0.000327153645077	0.000327153645077	0.00251566587832	0.000327153645077	0.000327153645077	0.0	0.000481263971963	0.000165535484273	0.000327153645077	0.00176569944384	0.00210844516179	0.000327153645077	0.000327153645077	0.000939517403256	0.00651852208494	1.0	0.00255473155095	0.000327153645077	0.000846084169284	0.000242791274382	0.000327153645077	0.000704446015436	0.00172031588148	0.000108097285862	0.000641206699584	0.000586710542307	0.00126003999635	0.000327153645077	0.000327153645077	0.000327153645077
